breed,type,size,energy,shedding,allergy_friendly,life_span,cost,main_disease
말티즈,강아지,소형,매우 적음,보통,False,12~15년,10~20만원,슬개골 탈구
푸들,강아지,소형,보통,적음,True,12~15년,15~25만원,슬개골 탈구/피부질환
비숑 프리제,강아지,소형,보통,적음,True,12~15년,15~25만원,피부염/눈물자국
포메라니안,강아지,소형,활동적,많음,False,12~16년,15~30만원,기관지 협착증/탈모
치와와,강아지,소형,보통,적음,False,14~18년,10~20만원,치아 질환/슬개골 탈구

웰시 코기,강아지,중형,활동적,많음,False,12~15년,20~35만원,디스크(IVDD)/비만
시바 이누,강아지,중형,보통,많음,False,12~15년,15~30만원,알레르기성 피부염
코커 스패니얼,강아지,중형,보통,보통,False,12~15년,20~35만원,귀염증/안과 질환
보더 콜리,강아지,중형,매우 활동적,보통,False,12~15년,20~40만원,고관절 이형성
비글,강아지,중형,활동적,보통,False,12~15년,15~30만원,비만/간질

골든 리트리버,강아지,대형,활동적,많음,False,10~12년,30~60만원,고관절 이형성/암
래브라도 리트리버,강아지,대형,활동적,많음,False,10~13년,30~60만원,비만/관절 질환
저먼 셰퍼드,강아지,대형,매우 활동적,많음,False,9~13년,30~70만원,고관절 이형성
시베리안 허스키,강아지,대형,매우 활동적,많음,False,12~15년,25~50만원,눈 질환/고관절 문제
도베르만,강아지,대형,활동적,적음,False,10~13년,30~70만원,심장병(DCM)

싱가푸라,고양이,소형,보통,적음,False,12~15년,20~40만원,심장병(HCM)
먼치킨,고양이,소형,보통,보통,False,12~15년,15~30만원,척추 문제
코리안 숏헤어,고양이,소형,매우 적음,보통,False,13~18년,10~20만원,비만/치아 질환
러시안 블루,고양이,소형,보통,적음,True,15~20년,15~30만원,요로결석
데본 렉스,고양이,소형,활동적,적음,True,10~15년,20~35만원,피부 질환

아메리칸 숏헤어,고양이,중형,보통,보통,False,15~20년,15~30만원,비만/치아 질환
브리티시 숏헤어,고양이,중형,매우 적음,보통,False,12~20년,20~40만원,비만/심장병
버만,고양이,중형,보통,적음,False,12~16년,20~40만원,심장병(HCM)
스코티시 폴드,고양이,중형,매우 적음,보통,False,11~15년,20~40만원,관절 질환
샴,고양이,중형,활동적,적음,False,12~20년,20~40만원,호흡기 질환

메인쿤,고양이,대형,보통,많음,False,12~15년,30~60만원,심장병(HCM)
노르웨이 숲,고양이,대형,보통,많음,False,14~16년,30~60만원,고관절 이형성
랙돌,고양이,대형,매우 적음,보통,False,12~17년,30~60만원,심장병
사바나 캣,고양이,대형,매우 활동적,적음,False,12~20년,40~80만원,스트레스/탈출 성향
벵갈,고양이,대형,매우 활동적,적음,False,12~16년,30~70만원,소화기 질환
